id;type_ID;name;code1;code2;property1;property2;manufacture;price;price_unitID;image_path;record_date
2;8;BOBÝN;204;;204;;;0;Usd;;06.06.2020 08:33
3;8;SMD DÝRENÇ;270;;270;;;0;Usd;;06.06.2020 08:33
4;8;SMD DÝRENÇ;271;;271;;;0;Usd;;06.06.2020 08:33
5;8;SMD DÝRENÇ;272;;272;;;0;Usd;;06.06.2020 08:33
6;8;SMD DÝRENÇ;289;;289;;;0;Usd;;06.06.2020 08:33
7;8;SMD DÝRENÇ;330;;330;;;0;Usd;;06.06.2020 08:33
8;8;SMD DÝRENÇ;392;;392;;;0;Usd;;06.06.2020 08:33
9;8;SMD DÝRENÇ;680;;680;;;0;Usd;;06.06.2020 08:33
10;8;SMD DÝRENÇ;820;;820;;;0;Usd;;06.06.2020 08:33
11;8;SWÝTCH;1117;;1117;;;0;Usd;;06.06.2020 08:33
12;8;ENTEGRE;4017;;4017;;;0;Usd;;06.06.2020 08:33
13;8;DÝRENÇ;4148;;4148;;;0;Usd;;06.06.2020 08:33
14;8;ENTEGRE;7447;;7447;;;0;Usd;;06.06.2020 08:33
15;8;REGÜLATÖR;7812;;7812;;;0;Usd;;06.06.2020 08:33
16;8;REGÜLATÖR;7824;;7824;;;0;Usd;;06.06.2020 08:33
17;8;REGÜLATÖR;7905;;7905;;;0;Usd;;06.06.2020 08:33
18;8;REGÜLATÖR;7915;;7915;;;0;Usd;;06.06.2020 08:33
19;8;REGÜLATÖR;7924;;7924;;;0;Usd;;06.06.2020 08:33
20;8;OSÝLATÖR;32768;;32768;;;0;Usd;;06.06.2020 08:33
21;9;Geçiþ klemensi;41561;;41561;;;0;Usd;;06.06.2020 08:33
22;9;Geçiþ klemensi;  PYK 1,5M;;  PYK 1,5M;;;0;Usd;;06.06.2020 08:33
23;12;STEP MOTOR; 23HS4110;; 23HS4110;;;0;Usd;;06.06.2020 08:33
24;8;DÝRENÇ; 33 OHM;; 33 OHM;;;0;Usd;;06.06.2020 08:33
25;8;HEADER; 40X12 ERKEK -KISA -ÝKÝLÝ;; 40X12 ERKEK -KISA -ÝKÝLÝ;;;0;Usd;;06.06.2020 08:33
26;8;SMD DÝRENÇ; 4R7;; 4R7;;;0;Usd;;06.06.2020 08:33
